"Trt.name"	"Transect"	"Treatment"	"Livestock.density"	"Boma.density"	"Plot.name"	"Block"	"Replicate"	"Harvest"	"Harvest.date"	"Reharvest.date"	"GrassNetReharvestBiomass1"	"DwarfShrubNetReharvestBiomass1"	"HerbNetReharvestBiomass1"	"ClimberNetReharvestBiomass1"	"TotalBiomass1"	"GrassNetReharvestBiomass0"	"DwarfShrubNetReharvestBiomass0"	"HerbNetReharvestBiomass0"	"ClimberNetReharvestBiomass0"	"TotalBiomass0"	"rain.mm"	"X"	"Y"	"nearest_in_set2"	"min_distExclosures"	"boma_density"	"Date"	"Burchells_ZebraMetBio"	"CattleMetBio"	"Grants_GazelleMetBio"	"Greater_KuduMetBio"	"Swaynes_HartebeestMetBio"	"harvest_code"
"B1Ex1"	1	"Control"	"High"	"High"	"B1Ex1Cp1P3"	"B1"	3	"double"	2012-11-25	2013-06-21	27.9	0	0	0	27.9	48.7	10.4	0	0	59.1	256.2999961	352629	657160	10	3094.19281346409	2.92553540750063e-06	1	79.17385645	0	2.9620350485	0	0	"High-Control"
"B1Ex1"	1	"Control"	"High"	"High"	"B1Ex1Cp1P4"	"B1"	4	"double"	2012-11-25	2013-06-21	46.4	0	0	0	46.4	100	0	0	1.2	101.2	256.2999961	352629	657160	10	3094.19281346409	2.92553540750063e-06	1	79.17385645	0	2.9620350485	0	0	"High-Control"
"B1Ex1"	1	"Control"	"High"	"High"	"B1Ex1Cp1P5"	"B1"	5	"double"	2012-11-25	2013-06-21	31.6	0	0	0	31.6	150.1	0	1.7	0	151.8	256.2999961	352629	657160	10	3094.19281346409	2.92553540750063e-06	1	79.17385645	0	2.9620350485	0	0	"High-Control"
"B1Ex1"	1	"Control"	"High"	"High"	"B1Ex1Cp1P1"	"B1"	1	"double"	2013-06-21	2013-11-21	1.9	0	0	0	1.9	33.6	0	11.4	0	45	35.69999981	352629	657160	10	3094.19281346409	2.92553540750063e-06	2	17.646476805	0	1.7612365775	0	0	"High-Control"
"B1Ex1"	1	"Control"	"High"	"High"	"B1Ex1Cp1P2"	"B1"	2	"double"	2013-06-21	2013-11-21	20.6	0	0	0	20.6	43.7	0	0	0	43.7	35.69999981	352629	657160	10	3094.19281346409	2.92553540750063e-06	2	17.646476805	0	1.7612365775	0	0	"High-Control"
"B1Ex1"	1	"Control"	"High"	"High"	"B1Ex1Cp1P3"	"B1"	3	"double"	2013-06-21	2013-11-21	13.5	0	0	0	13.5	17	0	0	0	17	35.69999981	352629	657160	10	3094.19281346409	2.92553540750063e-06	2	17.646476805	0	1.7612365775	0	0	"High-Control"
"B1Ex1"	1	"Control"	"High"	"High"	"B1Ex1Cp1P4"	"B1"	4	"double"	2013-06-21	2013-11-21	26.6	0	0	0	26.6	111.8	0	0	0	111.8	35.69999981	352629	657160	10	3094.19281346409	2.92553540750063e-06	2	17.646476805	0	1.7612365775	0	0	"High-Control"
"B1Ex1"	1	"Control"	"High"	"High"	"B1Ex1Cp1P5"	"B1"	5	"double"	2013-06-21	2013-11-21	3.2	0	0	0	3.2	39.5	0	3.3	2.8	45.6	35.69999981	352629	657160	10	3094.19281346409	2.92553540750063e-06	2	17.646476805	0	1.7612365775	0	0	"High-Control"
"B1Ex1"	1	"Exclosure"	"High"	"High"	"B1Ex1P1"	"B1"	1	"double"	2012-11-25	2013-06-21	31.3	0	2.7	0	34	136.2	1.4	0	0	137.6	256.2999961	352629	657160	10	3094.19281346409	2.92553540750063e-06	1	79.17385645	0	2.9620350485	0	0	"High-Exclosure"
"B1Ex1"	1	"Exclosure"	"High"	"High"	"B1Ex1P2"	"B1"	2	"double"	2012-11-25	2013-06-21	35.1	0	0	0	35.1	81.3	0	0	0	81.3	256.2999961	352629	657160	10	3094.19281346409	2.92553540750063e-06	1	79.17385645	0	2.9620350485	0	0	"High-Exclosure"
"B1Ex1"	1	"Exclosure"	"High"	"High"	"B1Ex1P1"	"B1"	1	"double"	2013-06-21	2013-11-21	26.6	0	0	1.8	28.4	75.1	0	0	0	75.1	35.69999981	352629	657160	10	3094.19281346409	2.92553540750063e-06	2	17.646476805	0	1.7612365775	0	0	"High-Exclosure"
"B1Ex1"	1	"Exclosure"	"High"	"High"	"B1Ex1P2"	"B1"	2	"double"	2013-06-21	2013-11-21	14.4	0	0	0	14.4	79.3	0	2.9	3.5	85.7	35.69999981	352629	657160	10	3094.19281346409	2.92553540750063e-06	2	17.646476805	0	1.7612365775	0	0	"High-Exclosure"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P1"	"B1"	1	"double"	2013-06-21	2013-11-21	26.7	0	0	0	26.7	63.2	0	0	0	63.2	35.69999981	352085	657284	10	3645.22052230114	2.35215215926105e-06	2	17.646476805	0	1.7612365775	0	0	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P2"	"B1"	2	"double"	2013-06-21	2013-11-21	92.4	8.3	11.6	0	112.3	80.6	0	0	0	80.6	35.69999981	352085	657284	10	3645.22052230114	2.35215215926105e-06	2	17.646476805	0	1.7612365775	0	0	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P5"	"B1"	5	"double"	2013-06-21	2013-11-21	24.3	0	0	25.4	49.7	33.9	6.6	0	0	40.5	35.69999981	352085	657284	10	3645.22052230114	2.35215215926105e-06	2	17.646476805	0	1.7612365775	0	0	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P1"	"B1"	1	"double"	NA	2012-11-25	171.7	5.7	0	0	177.4	171.7	5.7	0	0	177.4	81.00000072	352085	657284	10	3645.22052230114	2.35215215926105e-06	NA	NA	NA	NA	NA	NA	"High-Control"
"B1Ex2"	1	"Control"	"Medium"	"High"	"B1Ex2Cp1P1"	"B1"	1	"double"	2012-11-25	2013-06-21	25	4.9	0	0	29.9	69.5	5.2	0	0	74.7	256.2999961	352085	657284	10	3645.22052230114	2.35215215926105e-06	1	79.17385645	0	2.9620350485	0	0	"High-Control"
