Counting,Year,Month,Date,TimePeriod,Zone1,Zone,Species,Total,Bio,MetBio,Distancefromroad,Directionfromroad,X_observed,Y_observed,X_estimated,Y_estimated,Notes,date
1,2012,3,25,Midday,C2,C2,Pastoralist,1,,0,700,W,352451,657014,351751,657014,,25.3.2012
1,2012,3,25,Midday,C3,C3,Pastoralist,0,,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C4,C4,Pastoralist,0,,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D1,D1,Pastoralist,0,,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D2,D2,Pastoralist,0,,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D3,D3,Pastoralist,5,,0,200,E,352011,654152,352211,654152,,25.3.2012
1,2012,3,25,Midday,D4,D4,Pastoralist,0,,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,S1,S1,Pastoralist,0,,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A1,A1,Grants_Gazelle,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A2,A2,Grants_Gazelle,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A3,A3,Grants_Gazelle,1,50,37.5,400,W,350213,654053,349813,654053,,25.3.2012
1,2012,3,25,Midday,A3,A3,Grants_Gazelle,3,150,112.5,80,W,350197,653605,350117,653605,,25.3.2012
1,2012,3,25,Midday,A3,A3,Grants_Gazelle,2,100,75,60,W,350245,653151,350185,653151,,25.3.2012
1,2012,3,25,Midday,A4,A4,Grants_Gazelle,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,B1,B1,Grants_Gazelle,1,50,37.5,5,E,350406,658567,350411,658567,,25.3.2012
1,2012,3,25,Midday,B2,B2,Grants_Gazelle,1,50,37.5,40,E,349660,657154,349700,657154,,25.3.2012
1,2012,3,25,Midday,B3,B3,Grants_Gazelle,1,50,37.5,50,E,350213,654053,350263,654053,,25.3.2012
1,2012,3,25,Midday,B4,B4,Grants_Gazelle,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C1,C1,Grants_Gazelle,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C2,C2,Grants_Gazelle,2,100,75,40,W,352005,657847,352005,657887,N,25.3.2012
1,2012,3,25,Midday,C3,C3,Grants_Gazelle,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C4,C4,Grants_Gazelle,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D1,D1,Grants_Gazelle,1,50,37.5,300,E,352005,657847,352005,657547,S,25.3.2012
1,2012,3,25,Midday,D2,D2,Grants_Gazelle,1,50,37.5,30,E,352005,657847,352005,657817,S,25.3.2012
1,2012,3,25,Midday,D3,D3,Grants_Gazelle,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D4,D4,Grants_Gazelle,1,50,37.5,2,E,351677,653520,351679,653520,,25.3.2012
1,2012,3,25,Midday,S1,S1,Grants_Gazelle,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A1,A1,Greater_Kudu,1,200,150,200,W,350406,658567,350206,658567,,25.3.2012
1,2012,3,25,Midday,A2,A2,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A3,A3,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A4,A4,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,B1,B1,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,B2,B2,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,B3,B3,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,B4,B4,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C1,C1,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C2,C2,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C3,C3,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C4,C4,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D1,D1,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D2,D2,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D3,D3,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D4,D4,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,S1,S1,Greater_Kudu,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A1,A1,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A2,A2,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A3,A3,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,A4,A4,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,B1,B1,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,B2,B2,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,B3,B3,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,B4,B4,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C1,C1,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C2,C2,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C3,C3,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,C4,C4,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D1,D1,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D2,D2,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D3,D3,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,D4,D4,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
1,2012,3,25,Midday,S1,S1,Swaynes_Hartebeest,0,0,0,,,,,,,,25.3.2012
2,2012,10,26,Morning,A1,A1A,Burchells_Zebra,4,860,645,100,,,,,,,26.10.2012
2,2012,10,26,Morning,A2,A2,Burchells_Zebra,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A3,A3,Burchells_Zebra,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A4,A4,Burchells_Zebra,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B1,B1,Burchells_Zebra,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B2,B2,Burchells_Zebra,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B3,B3,Burchells_Zebra,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B4,B4,Burchells_Zebra,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C1,C1A,Burchells_Zebra,25,5375,4031.25,110,,,,,,,26.10.2012
2,2012,10,26,Morning,C1,C1B,Burchells_Zebra,41,8815,6611.25,250,,,,,,,26.10.2012
2,2012,10,26,Morning,C2,C2A,Burchells_Zebra,18,3870,2902.5,50,,,,,,,26.10.2012
2,2012,10,26,Morning,C2,C2C,Burchells_Zebra,5,1075,806.25,70,,,,,,,26.10.2012
2,2012,10,26,Morning,C2,C2D,Burchells_Zebra,14,3010,2257.5,800,,,,,,,26.10.2012
2,2012,10,26,Morning,C3,C3B,Burchells_Zebra,4,860,645,250,,,,,,,26.10.2012
2,2012,10,26,Morning,C4,C4C,Burchells_Zebra,4,860,645,200,,,,,,,26.10.2012
2,2012,10,26,Morning,D1,D1A,Burchells_Zebra,38,8170,6127.5,110,,,,,,,26.10.2012
2,2012,10,26,Morning,D1,D1A,Burchells_Zebra,10,2150,1612.5,80,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2B,Burchells_Zebra,5,1075,806.25,130,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2C,Burchells_Zebra,40,8600,6450,70,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2D,Burchells_Zebra,31,6665,4998.75,180,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2E,Burchells_Zebra,10,2150,1612.5,80,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2F,Burchells_Zebra,8,1720,1290,60,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3A,Burchells_Zebra,10,2150,1612.5,20,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3B,Burchells_Zebra,26,5590,4192.5,70,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3C,Burchells_Zebra,17,3655,2741.25,50,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3C,Burchells_Zebra,114,24510,18382.5,500,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3C,Burchells_Zebra,9,1935,1451.25,70,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3D,Burchells_Zebra,8,1720,1290,50,,,,,,,26.10.2012
2,2012,10,26,Morning,D4,D4A,Burchells_Zebra,30,6450,4837.5,200,,,,,,,26.10.2012
2,2012,10,26,Morning,D4,D4B,Burchells_Zebra,7,1505,1128.75,50,,,,,,,26.10.2012
2,2012,10,26,Morning,S1,S1A,Burchells_Zebra,17,3655,2741.25,300,,,,,,,26.10.2012
2,2012,10,26,Morning,A1,A1,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A2,A2,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A3,A3,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A4,A4,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B1,B1,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B2,B2,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B3,B3,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B4,B4,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C1,C1,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C2,C2,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C3,C3,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,C4,C4,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D1,D1,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D2,D2,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D3,D3,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,D4,D4,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,S1,S1,Cattle,0,0,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A1,A1,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A2,A2,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A3,A3,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,A4,A4,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B1,B1,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B2,B2,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B3,B3,Pastoralist,0,,0,,,,,,,,26.10.2012
2,2012,10,26,Morning,B4,B4,Pastoralist,0,,0,,,,,,,,26.10.2012
