"Zone" "Area_km2" "Xcent" "Ycent" "Anubis_Baboon" "Burchells_Zebra" "Cattle" "Cutter_of_grass" "Grants_Gazelle" "Greater_Kudu" "Pastoralist" "Swaynes_Hartebeest" "Burchells_ZebraBio" "Burchells_ZebraMetBio" "Burchells_ZebraTLU" "CattleBio" "CattleMetBio" "CattleTLU" "Grants_GazelleBio" "Grants_GazelleMetBio" "Grants_GazelleTLU" "Greater_KuduBio" "Greater_KuduMetBio" "Greater_KuduTLU" "Swaynes_HartebeestBio" "Swaynes_HartebeestMetBio" "Swaynes_HartebeestTLU"
"30" "B1-8.2.2013" 0 0 0 0 3.99326908452744 0 0 0 1.38896315983563 0 0 862.546122257927 159.161031576496 2.53152219146311 0 0 0 0 0 0 277.792631967126 68.0441106145701 1.0822697887351 0 0 0
"31" "B1-9.2.2013" 0 0 0 0 0.694481579917815 0 0 0 0 0 0 150.008021262248 42.86332545492 0.68175896143827 0 0 0 0 0 0 0 0 0 0 0 0
"32" "B2-25.3.2012" 0 0 0 0 0.434696425404355 0 0 0.217348212702177 0 0 0 93.8944278873407 30.1633702518585 0.479760908845317 0 0 0 10.8674106351089 5.9854190037246 0.0952005706613644 0 0 0 0 0 0
"33" "B2-26.10.2012" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"34" "B2-8.2.2013" 0 0 0 0 2.17348212702177 0 0 0 0 0 0 469.472139436702 100.857307106723 1.60417728248491 0 0 0 0 0 0 0 0 0 0 0 0
"35" "B2-9.2.2013" 0 0 0 0 2.82552676512831 0 0 0 0 0 0 610.313781267715 122.790532437223 1.95303432434089 0 0 0 0 0 0 0 0 0 0 0 0
"36" "B3-25.3.2012" 0 0 0 0 1.75584732275424 0 0 0.117056488183616 0 0 0 379.263021714916 85.9419840733741 1.36694288611437 0 0 0 5.8528244091808 3.76291251381843 0.0598506835430208 0 0 0 0 0 0
"37" "B3-26.10.2012" 0 0 0 0 0 0 0 0 0.117056488183616 0 0 0 0 0 0 0 0 0 0 0 23.4112976367232 10.6431238221309 0.16928329676768 0 0 0
"38" "B3-8.2.2013" 0 0 0 0 5.61871143281356 0 0 0 0.468225952734463 0 0 1213.64166948773 205.621185823765 3.27049020600022 0 0 0 0 0 0 93.6451905468926 30.1033001105474 0.478805468344165 0 0 0
"39" "B3-9.2.2013" 0 0 0 0 5.85282440918079 0 0 0.234112976367231 0 0 0 1264.21007238305 212.013948655513 3.372169749121 0 0 0 11.7056488183615 6.32843928756651 0.100656450483621 0 0 0 0 0 0
"40" "B4-25.3.2012" 0 0 0 0 4.77133230866321 0 0 0 0 0 0 1030.60777867125 181.894707179658 2.89311072675272 0 0 0 0 0 0 0 0 0 0 0 0
"41" "B4-26.10.2012" 0 0 0 0 0 0 0 1.59044410288774 0 0 0 0 0 0 0 0 0 79.522205144387 26.6297022693103 0.42355645461128 0 0 0 0 0 0
"42" "B4-8.2.2013" 0 0 0 0 7.95222051443869 0 0 0 0 0 0 1717.67963111876 266.812777749024 4.24376784409656 0 0 0 0 0 0 0 0 0 0 0 0
"43" "B4-9.2.2013" 0 0 0 0 31.4907932371772 0 0 1.59044410288774 0 0 0 6802.01133923028 748.993439492614 11.9130511693406 0 0 0 79.522205144387 26.6297022693103 0.42355645461128 0 0 0 0 0 0
"44" "C1-25.3.2012" 0 0 0 0 0.633532093468791 0 0 0 0 0 0 136.842932189259 40.0098366771385 0.636373039441571 0 0 0 0 0 0 0 0 0 0 0 0
"45" "C1-26.10.2012" 0 0 0 0 10.4532795422351 0 0 1.10868116357038 0.791915116835989 0 0 2257.90838112278 327.551608704132 5.2098441312591 0 0 0 55.434058178519 20.3157333975292 0.323130162089804 158.383023367198 44.6458886440932 0.710111367968812 0 0 0
"46" "C1-9.2.2013" 0 0 0 0.791915116835989 3.48442651407835 0 0 0.158383023367198 0 0 0 752.636127040924 143.694053372097 2.28551349089438 0 0 0 7.9191511683599 4.72072796830316 0.075085135433269 0 0 0 0 0 0
"47" "C2-25.3.2012" 0 0 0 0 0 0 0.107191476133818 0.214382952267636 0 0 0 0 0 0 0 0 0 10.7191476133818 5.92407009731531 0.0942247908711808 0 0 0 0 0 0
"48" "C2-26.10.2012" 0 0 0 0 3.96608461695126 0 0 0 0 0 0 856.674277261472 158.347712947471 2.51858602148662 0 0 0 0 0 0 0 0 0 0 0 0
"49" "C2-9.2.2013" 0 0 0 0 0.535957380669089 0 0 0.107191476133818 0 0 0 115.766794224523 35.2929536147554 0.561349058830964 0 0 0 5.3595738066909 3.52247315475111 0.0560263958568258 0 0 0 0 0 0
"50" "C3-25.3.2012" 0 0 0 0 0 2.63538916528265 0 0 0 0 0 0 0 0 658.847291320663 130.043477235995 2.06839541825742 0 0 0 0 0 0 0 0 0
"51" "C3-26.10.2012" 0 0 0 0 0.52707783305653 0 0 0.131769458264132 0 0 0 113.84881194021 34.8534984413809 0.554359342111165 0 0 0 6.5884729132066 4.11233582914002 0.0654084062355007 0 0 0 0 0 0
