Transect	Treatment	Livestock density	Boma.density	Plot name	Block	Plot.pair	Trt.name	Replicate	Harvest	Harvest.date	Reharvest.date	GrassNetReharvestBiomass1	DwarfShrubNetReharvestBiomass1	HerbNetReharvestBiomass1	ClimberNetReharvestBiomass1	TotalBiomass1	GrassNetReharvestBiomass0	DwarfShrubNetReharvestBiomass0	HerbNetReharvestBiomass0	ClimberNetReharvestBiomass0	TotalBiomass0	rain.mm	min_distExclosures	boma_density	Total.cumulative.biomass
1	Control	Medium	High	B1Ex2Cp1P4	B1	B2	B1Ex2	4	double		25.11.2012	125.6	0	0	0	125.6	125.6	0	0	0	125.6	81.00000072	3645.220522	2.35E-06	125.6
1	Control	Medium	High	B1Ex2Cp1P5	B1	B2	B1Ex2	5	double		25.11.2012	21.2	17.9	0.6	0	39.7	21.2	17.9	0.6	0	39.7	81.00000072	3645.220522	2.35E-06	39.7
2	Exclosure	High	High	B2Ex1P1	B2	B3	B2Ex1	1	double		25.11.2012	181.7	0	3.4	0	185.1	181.7	0	3.4	0	185.1	81.00000072	2391.465228	2.77E-06	185.1
2	Exclosure	High	High	B2Ex1P2	B2	B3	B2Ex1	2	double		25.11.2012	46.3	0	10.6	0	56.9	46.3	0	10.6	0	56.9	81.00000072	2391.465228	2.77E-06	56.9
2	Exclosure	High	High	B2Ex1P3	B2	B3	B2Ex1	3	double		25.11.2012	64.3	6.3	13.3	0	83.9	64.3	6.3	13.3	0	83.9	81.00000072	2391.465228	2.77E-06	83.9
2	Exclosure	High	High	B2Ex1P4	B2	B3	B2Ex1	4	double		25.11.2012	116.9	0	14.3	0	131.2	116.9	0	14.3	0	131.2	81.00000072	2391.465228	2.77E-06	131.2
2	Exclosure	High	High	B2Ex1P5	B2	B3	B2Ex1	5	double		25.11.2012	207.4	0	0	0	207.4	207.4	0	0	0	207.4	81.00000072	2391.465228	2.77E-06	207.4
2	Rodent Exclosure	High	High	B2Ex1CEx01	B2	B3	B2Ex1	6	double		25.11.2012	201.1	2	2.9	0	206	201.1	2	2.9	0	206		2391.465228	2.77E-06	206
2	Rodent Exclosure	High	High	B2Ex1CEx02	B2	B3	B2Ex1	7	double		25.11.2012	96.8	12.1	0	1.9	110.8	96.8	12.1	0	1.9	110.8		2391.465228	2.77E-06	110.8
2	Enclosure	Medium	High	B2En1P1	B2	B3	B2En1	1	double		25.11.2012	155.3	3.5	0	0	158.8	155.3	3.5	0	0	158.8		3101.856267	2.04E-06	158.8
2	Enclosure	Medium	High	B2En1P2	B2	B3	B2En1	2	double		25.11.2012	277.5	7.3	0	0	284.8	277.5	7.3	0	0	284.8		3101.856267	2.04E-06	284.8
2	Enclosure	Medium	High	B2En1P3	B2	B3	B2En1	3	double		25.11.2012	237.2	4.5	0	0	241.7	237.2	4.5	0	0	241.7		3101.856267	2.04E-06	241.7
2	Enclosure	Medium	High	B2En1P4	B2	B3	B2En1	4	double		25.11.2012	115.3	13.9	0	1.6	130.8	115.3	13.9	0	1.6	130.8		3101.856267	2.04E-06	130.8
2	Enclosure	Medium	High	B2En1P5	B2	B3	B2En1	5	double		25.11.2012	155.5	6.6	2.4	0	164.5	155.5	6.6	2.4	0	164.5		3101.856267	2.04E-06	164.5
2	Control triangle	Medium	High	B2C1P1	B2	B3	B2C1	1	double		25.11.2012	49.8	11.4	1.7	0	62.9	49.8	11.4	1.7	0	62.9		2938.833028	2.25E-06	62.9
2	Control triangle	Medium	High	B2C1P2	B2	B3	B2C1	2	double		25.11.2012	69.5	2.5	5.6	0	77.6	69.5	2.5	5.6	0	77.6		2938.833028	2.25E-06	77.6
2	Control triangle	Medium	High	B2C1P3	B2	B3	B2C1	3	double		25.11.2012	81.5	0	0	0	81.5	81.5	0	0	0	81.5		2938.833028	2.25E-06	81.5
2	Control triangle	Medium	High	B2C1P4	B2	B3	B2C1	4	double		25.11.2012	64	0	0	0	64	64	0	0	0	64		2938.833028	2.25E-06	64
2	Control triangle	Medium	High	B2C1P5	B2	B3	B2C1	5	double		25.11.2012	41.1	28.4	0	0	69.5	41.1	28.4	0	0	69.5		2938.833028	2.25E-06	69.5
