Transect	Treatment	Livestock density	Plot name	Replicate	Date First Harvested	Date First Reharvested	Date Second Reharvested	GrassNetReharvestBiomass1	DwarfShrubNetReharvestBiomass1	HerbNetReharvestBiomass1	ClimberNetReharvestBiomass1	GrassNetReharvestBiomass2	DwarfShrubNetReharvestBiomass2	HerbNetReharvestBiomass2	ClimberNetReharvestBiomass2
3	Control	High	B3Ex1Cp1p4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	11.6	9.6	0	0	5.6	0	22.3	0
3	Control	High	B3Ex1Cp1p5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	6.5	8.2	0	0	9.9	5.3	7.9	0
3	Control triangle	High	B3C1P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	4.1	2.8	0	0	16.8	0	0	0
3	Control triangle	High	B3C1P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	19.2	0	11.7	0	6.1	0	2.8	0
3	Control triangle	High	B3C1P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	4.1	0	0	0	5.1	0	11.6	0
3	Control triangle	High	B3C1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	23.5	10.5	0	0	10.5	9.3	0	0
3	Control triangle	High	B3C1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	18.2	14.2	0	0	6.6	2.5	30	0
3	Enclosure	High	B3En1P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	17	9.1	0	0	38.3	0	8.8	0
3	Enclosure	High	B3En1P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	26.1	8.3	4.6	0	54.8	0	0	0
3	Enclosure	High	B3En1P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	58.8	0	0	0	113.4	0	0	0
3	Enclosure	High	B3En1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	14.2	8.9	0	0	21.2	7.2	0	0
3	Enclosure	High	B3En1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	25.3	0	40.8	0	31.5	3.2	18	0
3	Exclosure	Medium	B3Ex2P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	47	6.9	0	0	20	16.1	0	5.8
3	Exclosure	Medium	B3Ex2P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	30.4	20.8	0	4.4	45	0	6.2	6.4
3	Exclosure	Medium	B3Ex2P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	38.4	3.4	0	0	88.2	5.7	0	0
3	Exclosure	Medium	B3Ex2P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	25	11.7	0	0	12.5	42.5	0	0
3	Exclosure	Medium	B3Ex2P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	63.6	0	0	0	26.2	4	0	6.8
3	Control	Medium	B3Ex2Cp1P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	13.1	0	0	0	14.4	0	0	0
3	Control	Medium	B3Ex2Cp1P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	18.9	0	0	0	16.2	0	0	0
3	Control	Medium	B3Ex2Cp1P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	7.8	0	0	0	12.4	0	0	0
3	Control	Medium	B3Ex2Cp1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	17.8	0	0	0	4.8	0	0	0
3	Control	Medium	B3Ex2Cp1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	10.4	0	0	0	6.3	0	0	0
3	Exclosure	Low	B4Ex1P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	76.9	9.4	3.7	3.8	80.9	0	18.8	0
3	Exclosure	Low	B4Ex1P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	25	3.3	4.7	0	26.9	10.2	0	0
3	Exclosure	Low	B4Ex1P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	64.3	0	0	0	30.5	0	5.6	0
3	Exclosure	Low	B4Ex1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	62.5	0	0	0	94.8	0	4.5	0
3	Exclosure	Low	B4Ex1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	92.6	0	2.5	6	77	0	0	0.5
3	Control	Low	B4Ex1Cp1P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	14.3	0	5	5.6	54.6	0	25.8	0
3	Control	Low	B4Ex1Cp1P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	21.3	0	15.3	6.9	48.5	11.4	5.1	0
3	Control	Low	B4Ex1Cp1P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	20	0	23.2	3.8	20	0	24.9	0
3	Control	Low	B4Ex1Cp1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	9.3	29.1	0	24	14.3	28.4	2.3	0
3	Control	Low	B4Ex1Cp1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	6.3	36.6	0	19.7	14.2	0	0	0
2	Exclosure	Low	B5Ex1P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	20.9	0	0	0	55.4	0	0	13
2	Exclosure	Low	B5Ex1P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	77.6	0	0	0	217.2	0	0	0
2	Exclosure	Low	B5Ex1P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	40.1	0	0	19.4	67.6	0	0	0
2	Exclosure	Low	B5Ex1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	39.4	0	0	0	48.6	0	12.2	0
2	Exclosure	Low	B5Ex1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	0	0	0	18	31.1	27.6	0	0
2	Control	Low	B5Ex1Cp1P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	39.9	0	0	0	29.4	0	0	0
2	Control	Low	B5Ex1Cp1P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	33.8	0	0	0	20.8	0	0	12.3
2	Control	Low	B5Ex1Cp1P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	34	0	0	0	89.3	0	0	0
2	Control	Low	B5Ex1Cp1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	58.5	0	0	0	125.9	0	0	0
2	Control	Low	B5Ex1Cp1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	103.1	0	0	0	44.1	0	30.5	0
1	Exclosure	Low	B6Ex1P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	148.9	0	0	0	73.3	5.3	1.6	0
1	Exclosure	Low	B6Ex1P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	12.3	38	0	0	10.7	7.1	10.2	0
1	Exclosure	Low	B6Ex1P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	10.9	0	0	0	34.6	0	12.3	0
1	Exclosure	Low	B6Ex1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	69.6	0	1.5	0	136.6	0	0	0
1	Exclosure	Low	B6Ex1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	38.5	0	0	1.9	63.9	0	0	5.6
1	Control	Low	B6Ex1Cp1P1	1	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	60.1	4.8	0	23.7	68.8	0	0	14.5
1	Control	Low	B6Ex1Cp1P2	2	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	67.3	21.1	0	0	72.2	9.3	45.9	0
1	Control	Low	B6Ex1Cp1P3	3	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	74.9	0	26.9	0	18.1	0	56.4	12.5
1	Control	Low	B6Ex1Cp1P4	4	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	34.6	11.4	0	0	31.6	6.8	0	0
1	Control	Low	B6Ex1Cp1P5	5	"Nov.25-27,2012"	"June21-25,2013"	"Nov. 21-25, 2013"	34.9	16.4	2.7	0	30.2	5.3	0	0
1	Exclosure	High	B1Ex1P1	1	"June21-25,2013"	"Nov. 21-25, 2013"	NA	26.6	0	0	1.8	NA	NA	NA	NA
1	Exclosure	High	B1Ex1P2	2	"June21-25,2013"	"Nov. 21-25, 2013"	NA	14.4	0	0	0	NA	NA	NA	NA
1	Exclosure	High	B1Ex1P3	3	"June21-25,2013"	"Nov. 21-25, 2013"	NA	35.7	0	0	0	NA	NA	NA	NA
1	Exclosure	High	B1Ex1P4	4	"June21-25,2013"	"Nov. 21-25, 2013"	NA	12.6	0	0	3.4	NA	NA	NA	NA
1	Exclosure	High	B1Ex1P5	5	"June21-25,2013"	"Nov. 21-25, 2013"	NA	17	0	0	4	NA	NA	NA	NA
1	Rodent Exclosure	High	B1Ex1CEx01	6	"June21-25,2013"	"Nov. 21-25, 2013"	NA	74.3	0	0	35.8	NA	NA	NA	NA
1	Rodent Exclosure	High	B1Ex1CEx02	7	"June21-25,2013"	"Nov. 21-25, 2013"	NA	72.2	0	0	20.1	NA	NA	NA	NA
1	Enclosure	High	B1En1P1	1	"June21-25,2013"	"Nov. 21-25, 2013"	NA	169	0	0	0	NA	NA	NA	NA
1	Enclosure	High	B1En1P2	2	"June21-25,2013"	"Nov. 21-25, 2013"	NA	46.5	0	4.7	7.7	NA	NA	NA	NA
1	Enclosure	High	B1En1P3	3	"June21-25,2013"	"Nov. 21-25, 2013"	NA	81.9	0	0	9.2	NA	NA	NA	NA
1	Enclosure	High	B1En1P4	4	"June21-25,2013"	"Nov. 21-25, 2013"	NA	47.3	22.1	0	0	NA	NA	NA	NA
1	Enclosure	High	B1En1P5	5	"June21-25,2013"	"Nov. 21-25, 2013"	NA	110	0	0	44.5	NA	NA	NA	NA
1	Control triangle	High	B1C1P1	1	"June21-25,2013"	"Nov. 21-25, 2013"	NA	48.6	0	0	3.4	NA	NA	NA	NA
1	Control triangle	High	B1C1P2	2	"June21-25,2013"	"Nov. 21-25, 2013"	NA	54.1	7	0	0	NA	NA	NA	NA
1	Control triangle	High	B1C1P3	3	"June21-25,2013"	"Nov. 21-25, 2013"	NA	33.2	0	0	8.8	NA	NA	NA	NA
1	Control triangle	High	B1C1P4	4	"June21-25,2013"	"Nov. 21-25, 2013"	NA	31.3	0	0	0	NA	NA	NA	NA
