OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
264,14,15,4461.809234,12
265,14,7,4521.437707,13
266,14,6,4569.469377,14
267,14,17,5395.758691,15
268,14,16,5425.794491,16
269,14,12,6009.503517,17
270,14,13,6016.961722,18
271,15,0,1524.928526,1
272,15,1,1577.135007,2
273,15,6,1931.54849,3
274,15,7,1934.099355,4
275,15,4,2070.046768,5
276,15,5,2124.068339,6
277,15,11,2181.468464,7
278,15,10,2205.027394,8
279,15,8,3096.196656,9
280,15,9,3126.484929,10
281,15,17,4157.779811,11
282,15,16,4220.424581,12
283,15,2,4235.992367,13
284,15,13,4270.644928,14
285,15,3,4292.914639,15
286,15,12,4304.044471,16
287,15,14,4563.022557,17
288,15,15,4580.004325,18
289,16,2,2334.843598,1
290,16,3,2377.917271,2
291,16,5,2623.562716,3
292,16,4,2646.308125,4
293,16,1,2727.004935,5
294,16,0,2783.626148,6
295,16,9,3806.11066,7
296,16,8,3866.191991,8
297,16,10,4408.447188,9
298,16,11,4434.037578,10
299,16,7,4793.578273,11
300,16,6,4828.127205,12
301,16,14,5930.791561,13
302,16,15,5984.778014,14
303,16,17,6461.226837,15
304,16,16,6509.137893,16
305,16,13,6919.122638,17
306,16,12,6929.597531,18
