Counting	Year	Month	Date	TimePeriod	Zone1	Zone	Species	Total	Adult	Juvenile	Male	Female	Distancefromroad	Directionfromroad	X_observed	Y_observed	X_estimated	Y_estimated	Notes
2	2012	10	26	Morning	C2	C2A	Burchells_Zebra	18	NA	NA	7	11	50	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D2	D2A	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C2	C2B	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D2	D2B	Greater_Kudu	5	4	1	1	4	130	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D2	D2B	Burchells_Zebra	5	NA	NA	NA	NA	130	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C2	C2C	Burchells_Zebra	5	NA	NA	NA	NA	70	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D2	D2C	Burchells_Zebra	40	NA	NA	NA	NA	70	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D2	D2C	Grants_Gazelle	11	NA	NA	NA	NA	250	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D2	D2D	Burchells_Zebra	31	30	1	NA	NA	180	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D2	D2D	Grants_Gazelle	3	NA	NA	1	2	120	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C2	C2D	Burchells_Zebra	14	NA	NA	NA	NA	800	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D2	D2E	Burchells_Zebra	10	NA	NA	NA	NA	80	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D2	D2E	Grants_Gazelle	1	NA	NA	1	NA	50	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D3	D3A	Burchells_Zebra	10	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D3	D3B	Burchells_Zebra	26	24	2	11	15	70	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D2	D2F	Burchells_Zebra	8	7	1	NA	NA	60	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D3	D3C	Burchells_Zebra	17	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D3	D3C	Grants_Gazelle	4	NA	NA	NA	NA	200	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D3	D3C	Burchells_Zebra	114	NA	NA	NA	NA	500	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D3	D3C	Grants_Gazelle	9	NA	NA	2	6	500	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C3	C3A	Grants_Gazelle	1	NA	NA	NA	1	120	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	D3	D3C	Burchells_Zebra	9	NA	NA	NA	NA	70	NA	NA	NA	NA	NA	NA
2	2012	10	26	Morning	C3	C3B	Burchells_Zebra	4	NA	NA	NA	NA	250	NA	NA	NA	NA	NA	NA
