"Zone" "Area_km2" "Xcent" "Ycent" "Anubis_Baboon" "Burchells_Zebra" "Cattle" "Cutter_of_grass" "Grants_Gazelle" "Greater_Kudu" "Pastoralist" "Swaynes_Hartebeest" "Burchells_ZebraBio" "Burchells_ZebraMetBio" "Burchells_ZebraTLU" "CattleBio" "CattleMetBio" "CattleTLU" "Grants_GazelleBio" "Grants_GazelleMetBio" "Grants_GazelleTLU" "Greater_KuduBio" "Greater_KuduMetBio" "Greater_KuduTLU" "Swaynes_HartebeestBio" "Swaynes_HartebeestMetBio" "Swaynes_HartebeestTLU"
"1" "A1" 1.272156 350192.4 658786.6 0 11.0049396457667 0 0 0.393033558777383 0.982583896943457 0 0 2377.06696348561 340.432537700027 5.41472064705434 0 0 0 19.6516779388691 9.33361168514258 0.14845496333744 196.516779388691 52.4867556383521 0.834823608142607 0 0 0
"2" "A2" 0.318745 349906 656690.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" "A3" 1.556994 350125.6 654726.8 0 11.2396065752341 0 0 1.76622389039393 2.40848712326444 0 0 2427.75502025057 345.862634806979 5.50108859272476 0 0 0 88.3111945196965 28.8079144986593 0.458201823152153 481.697424652888 102.820744297189 1.63540656499191 0 0 0
"4" "A4" 0.750255 349900.6 652309.3 0 11.9959213867285 0 0 1.99932023112142 0.333220038520236 0 0 2591.11901953336 363.174645790276 5.77644330454696 0 0 0 99.966011556071 31.6147151918858 0.502845151808276 66.6440077040472 23.3249557995567 0.370993091943454 0 0 0
"5" "B1" 1.439923 350402.9 657978.2 0 5.72947303432197 0 0 0.173620394979454 1.38896315983563 0 0 1237.56617541355 208.653811868661 3.31872538049625 0 0 0 8.6810197489727 5.05740877980494 0.080440183319767 277.792631967126 68.0441106145701 1.0822697887351 0 0 0
"6" "B2" 1.150228 350491.3 656769.6 0 5.43370531755443 0 0 0.217348212702177 0 0 0 1173.68034859176 200.522160310614 3.18938809128331 0 0 0 10.8674106351089 5.9854190037246 0.0952005706613644 0 0 0 0 0 0
"7" "B3" 2.135721 350740.4 654709.1 0 13.2273831647486 0 0 0.351169464550847 0.585282440918079 0 0 2857.1147635857 390.792089446661 6.21571019541288 0 0 0 17.5584732275424 8.57758562995254 0.136430055499883 117.056488183616 35.5874293535682 0.566032817539163 0 0 0
"8" "B4" 0.785944 350424.4 652166.5 0 44.2143460602791 0 0 3.18088820577548 0 0 0 9550.29874902028 966.079169350846 15.3658897011263 0 0 0 159.044410288774 44.7856423550735 0.712334208680396 0 0 0 0 0 0
"9" "C1" 1.578452 351248.5 658121.1 0.791915116835989 14.5712381497822 0 0 1.26706418693758 0.791915116835989 0 0 3147.38744035296 420.206393116717 6.68355688973011 0 0 0 63.353209346879 22.4556931515938 0.357167109152745 158.383023367198 44.6458886440932 0.710111367968812 0 0 0
"10" "C2" 2.332275 351889.1 656673.6 0 4.50204199762035 0 0.107191476133818 0.321574428401454 0 0 0 972.441071485996 174.139570865109 2.76976206858153 0 0 0 16.0787214200727 8.02950241418892 0.127712564731376 0 0 0 0 0 0
"11" "C3" 1.897253 351894.8 655047.6 0 0.52707783305653 2.63538916528265 0 0.790616749584794 0 0 0 113.84881194021 34.8534984413809 0.554359342111165 658.847291320663 130.043477235995 2.06839541825742 39.5308374792397 15.7652917222434 0.250753500743473 0 0 0 0 0 0
"12" "C4" 1.341102 351084.4 653425 3.16903561399506 2.23696631576122 0 0 0.745655438587072 0 0 0.745655438587072 483.184724204424 103.058756210279 1.63919224314349 0 0 0 37.2827719293536 15.0879815948382 0.239980602371016 0 0 0 127.507079998389 37.9446651932406 0.603525630821003
"13" "D1" 7.884861 352336.7 659872.6 0 2.02920508047003 0 0 0.0634126587646884 0 0 0 438.308297381526 95.7932193797182 1.52363086774101 0 0 0 3.17063293823442 2.37607133634213 0.0377923996651061 0 0 0 0 0 0
"14" "D2" 11.87988 354088.2 656557.8 0 2.50423404950218 0 0 0.399835688575979 0.10521991804631 0 0 540.914554692471 112.162195196312 1.78398621427767 0 0 0 19.991784428799 9.45450226257414 0.150377778089741 21.043983609262 9.82530331212236 0.156275522507777 0 0 0
"15" "D3" 3.065588 353050 654286.6 0 15.5761309086544 4.89302541633122 0 1.87565974292697 0 0.407752118027602 0 3364.44427626935 441.758591666963 7.02635354268183 1223.25635408281 206.841705590854 3.28990307889317 93.7829871463485 30.1365162040257 0.479333784081512 0 0 0 0 0 0
"16" "D4" 3.504823 351679.9 652466.5 0 3.92316530677869 7.27568838711684 0 2.13990834915201 0 0 0 847.403706264197 157.060787022928 2.49811693112901 1818.92209677921 278.522685642635 4.43001878378349 106.995417457601 33.2677847742967 0.529137908838407 0 0 0 0 0 0
"17" "S1" 1.607907 350256.7 650509.6 7.15215494428471 4.0425223598131 0 0 0.777408146117904 0 0 0 873.18482971963 160.631101109919 2.55490425684678 0 0 0 38.8704073058952 15.5673366953655 0.247604943973708 0 0 0 0 0 0
